bus_company,stop_name,latitude,longitude
A&MRTS,Arcata Transit Center,40.868186,-124.090548
A&MRTS,10th & G St.,40.869739,-124.085369
A&MRTS,11th & Q St. ,40.872596,-124.095506
A&MRTS,11th & H St.,40.870719,-124.086438
A&MRTS,11th & K St.,40.871429,-124.08955
A&MRTS,Greenview Market,40.87409,-124.101049
A&MRTS,Zehndner & S St.,40.875758,-124.099301
A&MRTS,Zehndner & Q St.,40.875305,-124.094968
A&MRTS,Minor Theatre,40.869928,-124.086554
A&MRTS,Arcata Plaza,40.86885,-124.086951
A&MRTS,6th & H St. ,40.866446,-124.087905
A&MRTS,Uniontown Shopping Center,40.865821,-124.085733
A&MRTS,Arcata City Hall,40.867537,-124.085105
A&MRTS,13th & G St.,40.872086,-124.084472
A&MRTS,16th & G St.,40.874162,-124.083733
A&MRTS,Cal Poly Humboldt Library,40.877116,-124.080419
A&MRTS,Camp Curtis,40.88933,-124.079089
A&MRTS,14th & B St.,40.871747,-124.079283
A&MRTS,Union & 14th St.,40.871343,-124.077288
A&MRTS,Union & 7th St.,40.865658,-124.077984
A&MRTS,Arcata Community Center,40.863635,-124.077067
A&MRTS,Parkway Apartments,40.863146,-124.077155
A&MRTS,Bayside Rd. & Buttermilk Ln.,40.857378,-124.071449
A&MRTS,Chester Ave. & Beverly Dr.,40.858388,-124.06858
A&MRTS,Crescent Way,40.859207,-124.073203
A&MRTS,Union Street Charter School,40.863626,-124.077041
A&MRTS,18th & G St.,40.875944,-124.083326
A&MRTS,L.K. Wood Blvd.,40.873309,-124.081502
A&MRTS,Sunset Skate Park,40.879216,-124.084461
A&MRTS,Foster Ave. & Alliance Rd.,40.879231,-124.091187
A&MRTS,Alliance Rd. & Stromberg Ave.,40.884351,-124.090239
A&MRTS,Alliance Rd. & Hilfiker Dr. ,40.886159,-124.088955
A&MRTS,Alliance Rd. & Spear Ave.,40.8903,-124.087691
A&MRTS,Mad River Hospital,40.896515,-124.092996
A&MRTS,Lazy J Ranch Trailer Park,40.900542,-124.091404
A&MRTS,Valley East Blvd.,40.903865,-124.081054
A&MRTS,Valley West Blvd.,40.902611,-124.083532
A&MRTS,Boyd Rd. & Giuntoli Ln.,40.904861,-124.075564
A&MRTS,Renner Station,40.901845,-124.073548
A&MRTS,18th & H St.,40.876005,-124.084239
A&MRTS,16th & H St.,40.874692,-124.084757
A&MRTS,14th & H St.,40.87295,-124.08541
A&MRTS,6th & H St.,40.866471,-124.087862
A&MRTS,13th & G St.,40.872086,-124.084475
A&MRTS,16th & G St.,40.874162,-124.083733
A&MRTS,Air Stream Ave. & Giuntoli Ln.,40.905043,-124.076746
A&MRTS,Mad River Gardens,40.901201,-124.091417
A&MRTS,L.K. Wood Blvd. & California Ave.,40.883444,-124.080127
A&MRTS,L.K. Wood Blvd. & Ridge Rd.,40.885704,-124.079257
A&MRTS,St. Louis & West End Rd.,40.888992,-124.08152
Eureka Transit System,3rd & H St.,40.803585,-124.164304
Eureka Transit System,4th & B St. ,40.80223,-124.170775
Eureka Transit System,Koster & Washington St. ,40.797733,-124.179089
Eureka Transit System,Costco,40.792575,-124.180664
Eureka Transit System,Broadway & W Hawthorne St.,40.789287,-124.179541
Eureka Transit System,Forest Service,40.782527,-124.185634
Eureka Transit System,Bayshore Mall,40.780426,-124.188799
Eureka Transit System,Harris St. & Central Ave.,40.780501,-124.179918
Eureka Transit System,Harris & Elizabeth St. ,40.780483,-124.17721
Eureka Transit System,Harris & Summer St. ,40.780442,-124.173437
Eureka Transit System,Harris & Lowell St. ,40.780411,-124.168094
Eureka Transit System,Harris & F St. ,40.780358,-124.163472
Eureka Transit System,H St. & Manzanita Ave. ,40.775899,-124.161432
Eureka Transit System,H & Oak St. ,40.771246,-124.161548
Eureka Transit System,Moose Lodge,40.763942,-124.15485
Eureka Transit System,Campton & Leslie Rd. ,40.76066,-124.15434
Eureka Transit System,Campton & Herron Rd.,40.758689,-124.152041
Eureka Transit System,Excelsior & Campton Rd. ,40.758908,-124.14952
Eureka Transit System,Excelsior Rd. & Holly St. ,40.763923,-124.149384
Eureka Transit System,Holly & Walnut St. ,40.764038,-124.145679
Eureka Transit System,Walnut St. & Cypress Ave. ,40.766062,-124.142936
Eureka Transit System,Walnut & Fern St. ,40.769502,-124.142887
Eureka Transit System,Walnut & Redwood St. ,40.771641,-124.142875
Eureka Transit System,Sequoia Park,40.775236,-124.144411
Eureka Transit System,W & Chester St. ,40.778514,-124.144384
Eureka Transit System,Hodgson & T St. ,40.778859,-124.147934
Eureka Transit System,Hodgson & Q St. ,40.778855,-124.151124
Eureka Transit System,Hodgson & J St. ,40.778761,-124.158849
Eureka Transit System,California & Dollison St. ,40.784258,-124.172003
Eureka Transit System,California & W Long St. ,40.785255,-124.171894
Eureka Transit System,California & Del Norte St. ,40.790532,-124.171853
Eureka Transit System,California & 15th St. ,40.793008,-124.171816
Eureka Transit System,California & W Simpson St.,40.795655,-124.171798
Eureka Transit System,California & 7th St. ,40.799312,-124.17187
Eureka Transit System,7th & C St. ,40.799819,-124.168539
Eureka Transit System,Harris & K St. ,40.780294,-124.157985
Eureka Transit System,Harris & Q St. ,40.780346,-124.151101
Eureka Transit System,Harris & U St. ,40.780352,-124.146713
Eureka Transit System,Harris St. & Harrison Ave. ,40.780423,-124.139598
Eureka Transit System,Providence St. Joseph's Hospital,40.784466,-124.139567
Eureka Transit System,Harrison Ave. & Buhne St. ,40.786018,-124.139725
Eureka Transit System,General St. Joseph's Hospital Campus,40.787922,-124.139693
Eureka Transit System,Harrison Ave. & 18th St. ,40.792104,-124.139665
Eureka Transit System,Silvercrest Residence,40.801497,-124.14746
Eureka Transit System,Myrtle & Sunny Ave. ,40.797982,-124.144628
Eureka Transit System,Myrtle Ave. & Dean St. ,40.797181,-124.141111
Eureka Transit System,Myrtle Ave. & Park St. ,40.795043,-124.135917
Eureka Transit System,Lafayette Elementary School,40.795048,-124.13226
Eureka Transit System,Park St. & Nedra Ave. ,40.79505,-124.129596
Eureka Transit System,Nedra Ave. & 18th St. ,40.792263,-124.129426
Eureka Transit System,Myrtle Ave. & 18th St. ,40.792162,-124.13418
Eureka Transit System,Myrtletown Market,40.783795,-124.129602
Eureka Transit System,Myrtle & Hall Ave. ,40.783014,-124.126174
Eureka Transit System,Redwood Acres Raceway,40.780565,-124.1276
Eureka Transit System,Granada Rehab Center,40.78055,-124.13628
Eureka Transit System,Harris & P St. ,40.780449,-124.152553
