SPCD,DO_BH,HT_TOT,TT_DW_CRM,COMMON_NAME
12,6.0,33.4,92.86,balsam fir 
12,9.2,47.8,321.11,balsam fir 
12,8.3,52.6,256.71,balsam fir 
12,11.7,55.0,558.9,balsam fir 
12,3.4,21.7,23.55,balsam fir 
12,3.8,19.8,30.95,balsam fir 
12,4.9,29.8,57.87,balsam fir 
12,15.1,65.7,1077.29,balsam fir 
12,9.3,54.0,348.59,balsam fir 
12,11.8,53.9,560.6,balsam fir 
12,9.8,54.3,376.67,balsam fir 
12,13.8,57.4,763.53,balsam fir 
12,14.7,70.0,999.58,balsam fir 
12,14.3,61.8,915.02,balsam fir 
12,11.9,59.3,614.82,balsam fir 
12,16.9,62.4,1281.84,balsam fir 
12,11.0,59.3,496.07,balsam fir 
12,3.7,31.3,28.99,balsam fir 
12,4.9,34.2,57.87,balsam fir 
12,5.7,45.3,106.09,balsam fir 
12,6.4,51.4,156.54,balsam fir 
12,4.4,23.3,44.39,balsam fir 
12,3.9,36.5,32.99,balsam fir 
12,4.8,38.2,55.01,balsam fir 
12,5.0,30.3,45.74,balsam fir 
12,7.0,32.3,126.94,balsam fir 
12,6.6,30.2,103.36,balsam fir 
12,5.7,27.8,63.06,balsam fir 
12,5.9,31.9,86.02,balsam fir 
12,5.3,27.7,60.81,balsam fir 
12,6.4,37.0,117.51,balsam fir 
12,8.1,54.8,246.85,balsam fir 
12,8.6,71.5,326.45,balsam fir 
12,8.3,74.4,297.77,balsam fir 
12,5.2,54.4,84.04,balsam fir 
12,7.5,47.9,187.52,balsam fir 
12,5.2,49.8,81.01,balsam fir 
12,7.7,53.3,210.71,balsam fir 
12,8.7,57.8,309.29,balsam fir 
12,7.9,57.1,248.97,balsam fir 
12,7.0,61.5,194.94,balsam fir 
12,10.6,29.7,312.72,balsam fir 
12,10.8,43.3,427.72,balsam fir 
12,10.3,34.7,350.54,balsam fir 
12,11.2,34.3,393.79,balsam fir 
12,11.1,33.3,378.11,balsam fir 
12,9.6,46.6,348.4,balsam fir 
12,9.7,43.4,319.64,balsam fir 
12,9.1,47.5,294.95,balsam fir 
12,10.8,51.6,445.57,balsam fir 
12,10.1,50.8,409.65,balsam fir 
12,11.9,58.9,617.48,balsam fir 
12,12.7,73.9,780.64,balsam fir 
12,9.3,67.2,383.67,balsam fir 
12,12.8,70.2,767.65,balsam fir 
12,9.9,66.2,401.74,balsam fir 
12,9.7,60.0,407.03,balsam fir 
12,9.2,57.8,341.19,balsam fir 
12,10.2,53.3,412.29,balsam fir 
12,16.9,39.7,1055.65,balsam fir 
12,14.0,63.4,872.54,balsam fir 
12,14.4,73.4,1013.78,balsam fir 
12,14.8,73.2,1035.74,balsam fir 
12,16.1,73.7,1283.58,balsam fir 
12,12.8,67.9,799.63,balsam fir 
12,15.2,81.9,1213.37,balsam fir 
12,13.1,63.1,786.96,balsam fir 
12,17.0,61.5,1298.43,balsam fir 
12,4.2,33.2,39.59,balsam fir 
12,4.0,36.5,35.11,balsam fir 
12,9.1,52.8,291.92,balsam fir 
12,15.9,93.0,1458.65,balsam fir 
12,20.0,82.1,2154.56,balsam fir 
12,17.7,59.0,1375.09,balsam fir 
12,3.6,23.6,27.1,balsam fir 
12,3.6,20.9,27.1,balsam fir 
12,4.2,33.0,39.59,balsam fir 
12,7.6,39.5,161.05,balsam fir 
12,5.6,38.3,75.17,balsam fir 
12,5.5,23.0,49.9,balsam fir 
12,6.1,39.6,112.84,balsam fir 
12,5.8,33.6,91.18,balsam fir 
12,5.7,41.7,88.64,balsam fir 
12,5.6,42.7,85.57,balsam fir 
12,6.3,47.3,131.48,balsam fir 
12,8.0,74.8,258.95,balsam fir 
12,8.9,68.7,351.98,balsam fir 
12,7.5,63.2,232.53,balsam fir 
12,10.2,44.2,380.51,balsam fir 
12,8.8,46.4,259.95,balsam fir 
12,10.4,55.1,448.01,balsam fir 
12,8.8,44.5,292.69,balsam fir 
12,11.1,47.7,485.92,balsam fir 
12,10.1,52.1,394.43,balsam fir 
12,9.3,47.9,330.48,balsam fir 
12,9.4,62.2,365.56,balsam fir 
12,9.6,60.5,384.4,balsam fir 
12,11.2,50.3,488.63,balsam fir 
12,8.4,63.0,298.42,balsam fir 
12,13.8,61.4,874.98,balsam fir 
12,13.6,77.2,906.41,balsam fir 
12,13.4,62.7,789.42,balsam fir 
12,14.8,64.7,944.69,balsam fir 
12,14.6,59.1,884.03,balsam fir 
12,11.7,50.2,533.09,balsam fir 
12,12.7,58.4,701.62,balsam fir 
12,13.6,80.5,974.44,balsam fir 
12,12.8,61.4,686.73,balsam fir 
12,15.0,73.3,1086.45,balsam fir 
12,16.4,52.7,1128.18,balsam fir 
12,15.4,66.5,1093.15,balsam fir 
12,10.8,69.9,552.93,balsam fir 
12,10.6,37.8,344.95,balsam fir 
12,10.5,36.3,343.98,balsam fir 
12,11.6,36.5,468.19,balsam fir 
12,9.2,58.4,351.56,balsam fir 
129,6.5,51.4,153.79,eastern white pine
129,10.1,55.8,387.1,eastern white pine
129,3.4,29.7,25.04,eastern white pine
129,5.4,47.1,98.73,eastern white pine
129,12.2,59.3,584.05,eastern white pine
129,10.3,52.7,382.02,eastern white pine
129,9.3,51.7,310.89,eastern white pine
129,9.2,34.0,215.17,eastern white pine
129,17.3,75.7,1436.45,eastern white pine
129,8.0,37.5,172.8,eastern white pine
129,5.9,43.5,108.92,eastern white pine
129,2.5,15.8,11.92,eastern white pine
129,10.0,53.0,363.31,eastern white pine
129,8.3,47.4,230.3,eastern white pine
129,13.7,80.8,966.71,eastern white pine
129,8.3,56.5,271.17,eastern white pine
129,13.7,73.0,880.87,eastern white pine
129,7.1,64.0,122.83,eastern white pine
129,7.0,55.9,118.4,eastern white pine
129,7.1,45.0,155.16,eastern white pine
129,7.7,39.6,148.98,eastern white pine
129,6.9,49.2,139.35,eastern white pine
129,5.7,42.7,90.0,eastern white pine
129,6.3,32.3,80.64,eastern white pine
129,5.9,46.0,92.97,eastern white pine
129,6.2,50.4,113.96,eastern white pine
129,6.2,37.8,99.36,eastern white pine
129,6.3,35.0,93.33,eastern white pine
129,7.2,36.4,123.25,eastern white pine
129,7.5,41.9,145.91,eastern white pine
129,6.8,44.0,127.68,eastern white pine
129,7.5,41.6,167.92,eastern white pine
129,6.1,35.7,88.89,eastern white pine
129,6.3,23.9,66.71,eastern white pine
129,6.1,43.7,106.29,eastern white pine
129,8.7,61.2,302.35,eastern white pine
129,7.9,74.9,218.79,eastern white pine
129,5.8,30.3,69.04,eastern white pine
129,5.8,36.7,78.02,eastern white pine
129,6.5,56.2,126.8,eastern white pine
129,6.8,52.6,157.07,eastern white pine
129,7.6,52.4,201.14,eastern white pine
129,8.7,60.1,275.33,eastern white pine
129,8.5,51.1,234.48,eastern white pine
129,7.7,58.4,222.34,eastern white pine
129,8.2,47.3,224.89,eastern white pine
129,7.8,57.8,218.81,eastern white pine
129,7.8,63.3,234.09,eastern white pine
129,8.4,40.9,197.94,eastern white pine
129,7.1,38.5,134.0,eastern white pine
129,6.9,34.2,100.64,eastern white pine
129,8.9,64.8,327.23,eastern white pine
129,8.4,65.8,297.81,eastern white pine
129,8.6,59.7,296.69,eastern white pine
129,6.9,51.5,190.87,eastern white pine
129,36.7,97.3,8101.9,eastern white pine
129,15.3,72.0,1183.33,eastern white pine
129,3.2,23.4,21.62,eastern white pine
129,3.9,27.5,34.9,eastern white pine
129,18.8,71.6,1830.57,eastern white pine
129,6.2,48.1,133.44,eastern white pine
129,16.3,74.2,1416.38,eastern white pine
129,3.6,24.3,28.75,eastern white pine
129,24.3,77.4,3188.72,eastern white pine
129,15.0,84.6,1164.35,eastern white pine
129,16.2,58.0,1169.85,eastern white pine
129,8.4,53.2,286.55,eastern white pine
129,13.0,64.6,843.0,eastern white pine
129,11.9,52.8,591.29,eastern white pine
129,19.0,76.5,1896.35,eastern white pine
129,4.3,37.6,44.21,eastern white pine
129,4.1,23.2,39.39,eastern white pine
129,7.1,30.8,142.18,eastern white pine
129,8.6,47.1,263.62,eastern white pine
129,9.9,35.2,318.06,eastern white pine
129,10.3,59.6,454.0,eastern white pine
129,11.1,44.7,504.89,eastern white pine
129,10.1,71.3,510.82,eastern white pine
129,12.8,64.2,783.31,eastern white pine
129,12.0,79.0,766.61,eastern white pine
129,16.3,53.7,1164.5,eastern white pine
129,16.1,58.0,1165.01,eastern white pine
129,15.0,73.7,1118.26,eastern white pine
129,18.7,88.9,1869.88,eastern white pine
129,19.6,91.5,2182.53,eastern white pine
129,25.7,113.3,4031.12,eastern white pine
129,5.3,28.8,69.0,eastern white pine
129,8.6,58.4,313.6,eastern white pine
129,8.6,66.5,341.61,eastern white pine
129,12.1,89.8,784.04,eastern white pine
129,21.8,94.4,2752.27,eastern white pine
129,25.2,84.1,3530.98,eastern white pine
129,4.3,18.1,44.21,eastern white pine
129,4.1,33.6,39.39,eastern white pine
129,7.4,40.0,170.43,eastern white pine
129,5.8,36.9,98.29,eastern white pine
129,5.4,34.2,78.03,eastern white pine
129,8.4,63.9,316.47,eastern white pine
129,6.1,48.5,123.23,eastern white pine
129,6.9,64.6,213.39,eastern white pine
129,8.6,68.7,333.68,eastern white pine
129,9.2,36.6,282.36,eastern white pine
129,9.7,48.8,366.31,eastern white pine
129,9.5,39.5,303.6,eastern white pine
129,12.2,69.5,734.13,eastern white pine
129,10.5,75.9,565.14,eastern white pine
129,12.0,74.2,744.58,eastern white pine
129,12.2,57.1,658.12,eastern white pine
129,17.4,83.6,1714.05,eastern white pine
129,12.5,63.8,754.72,eastern white pine
129,16.1,68.3,1236.31,eastern white pine
129,14.2,72.6,1014.24,eastern white pine
129,14.8,88.2,1200.94,eastern white pine
129,12.3,84.8,804.84,eastern white pine
129,21.2,86.5,2445.81,eastern white pine
129,18.8,76.3,1819.98,eastern white pine
129,17.6,80.8,1648.0,eastern white pine
129,19.4,85.0,2098.31,eastern white pine
129,28.1,102.2,4752.91,eastern white pine
129,11.0,78.8,620.52,eastern white pine
129,9.5,81.3,459.05,eastern white pine
129,6.5,35.5,117.0,eastern white pine
129,4.3,25.9,44.21,eastern white pine
129,4.3,44.5,44.21,eastern white pine
129,13.1,79.0,918.9,eastern white pine
129,13.0,55.7,711.55,eastern white pine
129,13.4,57.1,795.38,eastern white pine
129,4.6,34.9,52.06,eastern white pine
129,14.0,59.1,857.26,eastern white pine
129,34.4,97.9,7130.75,eastern white pine
129,6.3,38.6,121.31,eastern white pine
129,10.9,65.1,556.59,eastern white pine
129,28.0,86.8,4294.67,eastern white pine
129,13.2,40.4,549.43,eastern white pine
129,4.2,26.4,41.76,eastern white pine
129,17.0,45.1,1117.75,eastern white pine
129,11.3,59.5,522.9,eastern white pine
129,7.0,36.5,156.38,eastern white pine
129,9.1,61.0,345.62,eastern white pine
129,11.7,66.8,652.11,eastern white pine
129,4.7,28.8,54.85,eastern white pine
129,20.2,76.5,2188.86,eastern white pine
129,5.5,33.0,76.69,eastern white pine
129,6.9,42.6,164.59,eastern white pine
129,8.6,65.8,339.22,eastern white pine
129,8.4,68.6,328.98,eastern white pine
129,10.9,71.1,585.33,eastern white pine
129,10.4,69.9,525.79,eastern white pine
129,18.4,68.2,1667.29,eastern white pine
129,19.0,91.3,2111.3,eastern white pine
129,14.3,52.0,817.02,eastern white pine
129,20.8,68.4,1990.95,eastern white pine
129,9.9,45.3,344.53,eastern white pine
129,14.0,46.5,745.63,eastern white pine
129,15.4,93.7,1353.0,eastern white pine
261,18.2,49.6,1416.22,eastern hemlock
261,22.6,67.6,2670.33,eastern hemlock
261,22.8,77.5,2834.69,eastern hemlock
261,33.5,91.1,6860.11,eastern hemlock
261,12.2,52.9,625.37,eastern hemlock
