SPCD,DO_BH,HT_TOT,TT_DW_CRM,COMMON_NAME
12,7.5,45.2,178.86,balsam fir 
12,9.3,62.7,323.46,balsam fir 
12,9.7,56.7,342.47,balsam fir 
12,11.4,66.1,499.35,balsam fir 
12,6.4,51.8,113.92,balsam fir 
12,9.1,57.1,281.48,balsam fir 
12,7.0,51.3,160.34,balsam fir 
12,7.2,58.0,185.32,balsam fir 
12,10.2,64.2,374.4,balsam fir 
12,11.1,68.8,517.32,balsam fir 
12,6.2,51.0,114.77,balsam fir 
12,7.4,61.2,194.76,balsam fir 
12,7.7,58.4,206.22,balsam fir 
12,8.3,56.2,241.22,balsam fir 
12,8.9,64.7,315.8,balsam fir 
12,7.4,49.9,160.47,balsam fir 
12,7.6,53.0,176.94,balsam fir 
12,7.7,49.0,195.25,balsam fir 
12,8.4,42.3,208.54,balsam fir 
12,8.4,51.8,229.7,balsam fir 
12,9.1,62.0,358.95,balsam fir 
12,7.8,52.0,242.45,balsam fir 
12,7.0,55.0,190.42,balsam fir 
12,7.4,58.0,223.63,balsam fir 
12,12.0,62.0,633.91,balsam fir 
12,11.0,60.0,511.11,balsam fir 
12,9.5,56.0,358.44,balsam fir 
12,8.2,56.0,277.45,balsam fir 
12,10.3,66.0,480.12,balsam fir 
12,9.0,47.0,318.06,balsam fir 
12,8.1,44.0,223.09,balsam fir 
12,9.5,44.0,303.78,balsam fir 
12,7.5,43.0,191.55,balsam fir 
12,9.7,43.0,342.12,balsam fir 
12,9.8,49.0,369.9,balsam fir 
12,6.8,41.5,147.23,balsam fir 
12,9.8,50.0,372.0,balsam fir 
12,6.0,40.0,105.93,balsam fir 
12,8.0,46.0,219.71,balsam fir 
12,11.6,54.0,573.4,balsam fir 
12,10.4,45.0,419.84,balsam fir 
12,8.3,45.0,255.92,balsam fir 
12,7.7,43.0,198.72,balsam fir 
12,9.1,43.0,297.93,balsam fir 
12,7.3,44.0,183.61,balsam fir 
12,9.6,48.0,353.53,balsam fir 
12,11.3,44.0,475.42,balsam fir 
12,10.5,48.0,371.39,balsam fir 
12,12.7,53.0,683.93,balsam fir 
12,7.1,38.0,159.31,balsam fir 
12,8.5,49.0,252.75,balsam fir 
12,7.2,33.0,146.76,balsam fir 
12,6.7,35.0,141.4,balsam fir 
12,8.2,53.0,239.9,balsam fir 
12,11.6,49.0,530.52,balsam fir 
12,7.6,51.0,206.38,balsam fir 
12,11.3,56.0,533.61,balsam fir 
12,10.4,54.0,427.39,balsam fir 
12,8.2,52.0,245.13,balsam fir 
12,9.2,54.0,332.7,balsam fir 
12,9.8,53.0,378.73,balsam fir 
12,7.8,38.0,203.47,balsam fir 
12,7.7,50.0,215.35,balsam fir 
12,6.4,37.0,123.48,balsam fir 
12,9.2,53.0,336.31,balsam fir 
12,11.7,60.0,588.55,balsam fir 
12,7.6,45.0,203.91,balsam fir 
12,6.7,42.0,142.03,balsam fir 
12,9.9,55.0,387.49,balsam fir 
12,9.1,57.0,315.14,balsam fir 
12,9.5,52.0,336.11,balsam fir 
12,8.2,49.0,234.12,balsam fir 
12,8.6,47.0,262.31,balsam fir 
12,8.3,41.0,223.24,balsam fir 
12,9.6,54.0,368.4,balsam fir 
12,9.7,43.0,347.61,balsam fir 
12,7.6,45.0,196.64,balsam fir 
12,7.3,34.0,169.44,balsam fir 
12,5.6,43.0,91.17,balsam fir 
12,5.8,41.0,95.61,balsam fir 
12,7.6,47.0,210.2,balsam fir 
12,6.9,41.0,154.51,balsam fir 
12,8.3,49.0,255.12,balsam fir 
12,7.9,42.0,212.31,balsam fir 
12,9.9,44.0,354.55,balsam fir 
12,9.3,49.0,315.17,balsam fir 
12,11.1,53.0,482.63,balsam fir 
12,5.9,36.0,93.44,balsam fir 
12,8.8,48.0,296.15,balsam fir 
12,8.1,41.0,215.36,balsam fir 
12,7.9,60.0,223.2,balsam fir 
12,8.0,48.0,235.68,balsam fir 
12,11.1,55.0,495.62,balsam fir 
12,10.1,53.0,399.4,balsam fir 
12,8.6,47.0,272.44,balsam fir 
12,11.8,55.0,551.87,balsam fir 
12,10.1,55.0,404.83,balsam fir 
12,8.6,49.0,280.06,balsam fir 
12,10.4,52.0,419.84,balsam fir 
12,15.4,67.0,1128.61,balsam fir 
12,11.5,62.0,566.13,balsam fir 
12,8.4,53.0,273.17,balsam fir 
12,7.9,40.0,191.04,balsam fir 
12,11.8,59.0,600.61,balsam fir 
12,11.6,57.0,562.89,balsam fir 
12,7.8,42.0,200.25,balsam fir 
12,10.5,63.0,469.64,balsam fir 
12,6.3,53.0,124.61,balsam fir 
12,8.4,52.0,264.49,balsam fir 
12,11.4,66.0,575.86,balsam fir 
12,11.6,55.0,533.37,balsam fir 
12,10.0,50.0,389.96,balsam fir 
12,8.1,50.0,257.04,balsam fir 
12,10.3,58.0,444.76,balsam fir 
12,11.8,54.0,589.91,balsam fir 
12,9.0,41.0,292.43,balsam fir 
12,11.8,60.0,579.66,balsam fir 
12,12.9,53.0,656.71,balsam fir 
12,7.9,48.0,232.42,balsam fir 
12,9.1,47.0,286.8,balsam fir 
12,7.8,40.0,194.46,balsam fir 
12,8.9,50.0,304.18,balsam fir 
12,8.0,49.0,238.65,balsam fir 
12,8.6,43.0,273.73,balsam fir 
12,7.8,48.0,207.02,balsam fir 
12,7.2,43.0,176.68,balsam fir 
12,7.5,46.0,195.83,balsam fir 
12,7.1,47.0,165.21,balsam fir 
12,8.0,52.0,252.52,balsam fir 
12,5.1,42.0,63.37,balsam fir 
12,4.8,42.0,55.01,balsam fir 
12,5.5,45.0,86.05,balsam fir 
12,7.7,73.0,195.19,balsam fir 
12,9.9,54.0,412.52,balsam fir 
12,7.4,50.0,191.73,balsam fir 
12,8.2,44.0,224.66,balsam fir 
12,8.0,44.0,204.47,balsam fir 
12,7.2,48.0,182.57,balsam fir 
12,8.4,40.0,257.54,balsam fir 
12,10.4,52.0,448.55,balsam fir 
12,11.3,52.0,497.37,balsam fir 
12,14.4,58.0,893.25,balsam fir 
12,7.8,49.0,220.93,balsam fir 
12,9.2,53.0,336.31,balsam fir 
12,7.6,48.0,209.85,balsam fir 
12,10.1,56.0,418.56,balsam fir 
12,10.9,63.0,521.69,balsam fir 
12,10.0,51.0,402.14,balsam fir 
12,8.0,51.0,231.14,balsam fir 
